Model;Manuf;Model Details;Year;Month;Motor Type_0;Motor Type_1;Transmission;Color;Body Type;Price;Mileage
Porsche 911;Porsche;911;2022;Oktobris;3,7;Benzīns;Automāts;Pelēka;Kupeja;209000;25000
Porsche 911;Porsche;911;2022;Augusts;3,7;Benzīns;Automāts;Pelēka;Kupeja;199000;8891
Porsche Cayman;Porsche;Cayman;2022;Jūlijs;4;Benzīns;Automāts;Pelēka;Kupeja;189000;1272
Porsche 911;Porsche;911;2018;Maijs;4;Benzīns;Automāts;Melna;Kupeja;149900;19627
Porsche 911;Porsche;911;2023;Jūnijs;3;Benzīns;Automāts;Pelēka;Kupeja;137000;22001
Porsche Cayenne;Porsche;Cayenne;2024;Jūlijs;3;Benzīns;Automāts;Pelēkametālika;Apvidus;130990;1200
Porsche 911;Porsche;911;2020;Janvāris;3;Benzīns;Automāts;Zaļa;Kupeja;123000;44600
Porsche 911;Porsche;911;2021;Jūlijs;2,9;Benzīns;Automāts;Zaļametālika;Kupeja;123000;14100
Porsche 911;Porsche;911;2020;Jūlijs;3;Benzīns;Automāts;Zaļametālika;Kupeja;117200;56500
Porsche Cayenne;Porsche;Cayenne;2019;Septembris;4;Benzīns;Automāts 8 ātrumi;Melnametālika;Apvidus;117000;15806
Porsche Cayenne;Porsche;Cayenne;2022;Janvāris;4;Benzīns;Automāts 8 ātrumi;Baltametālika;Apvidus;105500;55105
Porsche 911;Porsche;911;2020;Oktobris;3;Benzīns;Automāts 8 ātrumi;Melna;Kupeja;105000;28530
Porsche Cayenne;Porsche;Cayenne;2019;Novembris;4;Benzīns;Automāts;Oranža;Apvidus;99000;112280
Porsche Taycan;Porsche;Taycan;2023;Jūlijs;;;Automāts;Pelēka;Sedans;94000;15500
Porsche Cayenne;Porsche;Cayenne;2021;;3;Benzīns;Automāts;Pelēka;Apvidus;92900;29995
Porsche Cayenne;Porsche;Cayenne;2023;Jūlijs;3;Hybrid;Automāts;Balta;Kupeja;90700;24513
Porsche 911;Porsche;911;2011;;3,8;Benzīns;Automāts;Zila;Kupeja;89900;38636
Porsche Cayenne;Porsche;Cayenne;2022;Jūnijs;3;Hybrid;Automāts;Melna;Apvidus;88800;47100
Porsche Macan;Porsche;Macan;2022;Janvāris;2,9;Benzīns;Automāts;Oranžametālika;Apvidus;88000;25600
Porsche Taycan;Porsche;Taycan;2023;Februāris;;;Automāts;Pelēkametālika;Sedans;87990;16000
Porsche Cayenne;Porsche;Cayenne;2021;Februāris;2,9;Benzīns;Automāts 8 ātrumi;Sudrabametālika;Apvidus;86000;39000
Porsche Cayenne;Porsche;Cayenne;2022;;3;Benzīns;Automāts;Melna;Kupeja;85000;20500
Porsche 911;Porsche;911;1991;Jūnijs;3,6;Benzīns;Automāts;Melnametālika;Kupeja;85000;91000
Porsche 911;Porsche;911;2016;Decembris;3;Benzīns;Automāts 7 ātrumi;Melna;Kabriolets;83500;23000
Porsche Panamera;Porsche;Panamera;2019;Marts;4;Benzīns;Automāts;Zilametālika;Sedans;82000;67730
Porsche Cayenne;Porsche;Cayenne;2020;Augusts;3;Hybrid;Automāts 8 ātrumi;Pelēkametālika;Apvidus;81000;51261
Kia Citi;Kia;Citi;2024;Janvāris;;;Automāts;Melnametālika;Apvidus;79900;13484
Porsche Panamera;Porsche;Panamera;2016;Decembris;4;Benzīns;Automāts 8 ātrumi;Pelēkametālika;Sedans;77700;74500
Porsche Panamera;Porsche;Panamera;2019;Novembris;4;Benzīns;Automāts;Pelēka;Sedans;77000;82484
Porsche Panamera;Porsche;Panamera;2017;Septembris;3;Hybrid;Automāts;Zila;Hečbeks;75000;113000
Porsche Taycan;Porsche;Taycan;2021;Oktobris;;;Automāts;Baltametālika;Sedans;72990;57000
Porsche Panamera;Porsche;Panamera;2019;Maijs;3;Benzīns;Automāts;Pelēkametālika;Kupeja;70180;104052
Porsche Boxster;Porsche;Boxster;2018;Aprīlis;2,5;Benzīns;Automāts 7 ātrumi;Zaļa;Kabriolets;70000;44348
Porsche 911;Porsche;911;1992;Novembris;3,6;Benzīns;Automāts;Sarkana;Kupeja;69964;135824
Porsche Panamera;Porsche;Panamera;2018;Jūnijs;2,9;Benzīns;Automāts;Pelēka;Sedans;69900;63000
Porsche Taycan;Porsche;Taycan;2020;Jūnijs;;;Automāts;Sudrabametālika;Sedans;69500;41500
Toyota Highlander;Toyota;Highlander;2024;;2,5;Hybrid;Automāts;Pelēkametālika;Apvidus;65500;21
Porsche Cayenne;Porsche;Cayenne;2018;Augusts;2,9;Benzīns;Automāts;Melna;Apvidus;64995;111995
Porsche Cayenne;Porsche;Cayenne;2019;Oktobris;3;Hybrid;Automāts;Balta;Apvidus;63900;109500
Porsche Macan;Porsche;Macan;2022;Jūlijs;2;Benzīns;Automāts 7 ātrumi;Sudraba;Apvidus;60900;18073
Porsche Cayenne;Porsche;Cayenne;2020;Jūnijs;3;Benzīns;Automāts 8 ātrumi;Pelēkametālika;Apvidus;59990;49875
Toyota Land Cruiser;Toyota;Land Cruiser;2023;Jūnijs;3;Dīzelis;Automāts 6 ātrumi;Melnametālika;Apvidus;59900;21000
